variant,profile,mode,count,cycles_per_txn,accepted_per_cycle,min,mean,p50,p95,p99,max,throughput_txn_per_cycle
b1,100pct_Q8_DEC,Q8_DEC,200000,2.0249,0.493860,9,51.905,51,94,105,132,0.493860
b1,100pct_Q4_ENC,Q4_ENC,200000,17.7082,0.056471,20,300.021,296,322,324,337,0.056471
b1,100pct_Q4_DEC,Q4_DEC,200000,2.0205,0.494926,9,50.212,50,91,102,126,0.494926
b1,alt_Q8ENC_Q4DEC,Q8_ENC,100000,14.3533,0.069670,23,250.350,249,262,264,273,0.034835
b1,alt_Q8ENC_Q4DEC,Q4_DEC,100000,14.3533,0.069670,30,237.647,235,249,251,264,0.034835
b1,alt_Q8ENC_Q8DEC,Q8_ENC,100000,14.3533,0.069670,24,250.355,249,262,264,275,0.034835
b1,alt_Q8ENC_Q8DEC,Q8_DEC,100000,14.3533,0.069670,31,237.659,235,249,251,268,0.034835
b1,alt_Q4ENC_Q4DEC,Q4_ENC,100000,12.8533,0.077801,20,223.351,222,235,237,246,0.038900
b1,alt_Q4ENC_Q4DEC,Q4_DEC,100000,12.8533,0.077801,27,213.653,211,225,227,238,0.038900
b1,adversarial_HOL_pattern,Q8_ENC,33334,5.4512,0.183445,25,97.161,100,103,106,114,0.030575
b1,adversarial_HOL_pattern,Q8_DEC,100000,5.4512,0.183445,31,97.224,98,112,115,126,0.091722
b1,adversarial_HOL_pattern,Q4_DEC,66666,5.4512,0.183445,31,102.621,104,111,114,124,0.061148
b2,uniform_random_modes,Q8_ENC,50493,7.9688,0.125489,30,149.844,148,201,224,284,0.031682
b2,uniform_random_modes,Q8_DEC,49642,7.9688,0.125489,10,138.308,137,187,209,271,0.031148
b2,uniform_random_modes,Q4_ENC,49975,7.9688,0.125489,8,146.582,145,196,218,277,0.031357
b2,uniform_random_modes,Q4_DEC,49890,7.9688,0.125489,42,138.112,137,188,209,276,0.031303
b2,realistic_reconstructed_mix_SIMULATED,Q8_ENC,40332,5.8154,0.171956,24,114.483,114,167,193,245,0.034677
b2,realistic_reconstructed_mix_SIMULATED,Q8_DEC,79971,5.8154,0.171956,13,102.515,101,153,178,233,0.068757
b2,realistic_reconstructed_mix_SIMULATED,Q4_ENC,20121,5.8154,0.171956,21,108.481,107,160,184,239,0.017300
b2,realistic_reconstructed_mix_SIMULATED,Q4_DEC,59576,5.8154,0.171956,9,102.755,101,153,177,243,0.051222
b2,10pct_Q8ENC_90pct_other,Q8_ENC,19926,6.8598,0.145777,32,127.421,127,176,199,243,0.014524
b2,10pct_Q8ENC_90pct_other,Q8_DEC,60286,6.8598,0.145777,22,119.554,118,170,191,267,0.043942
b2,10pct_Q8ENC_90pct_other,Q4_ENC,59788,6.8598,0.145777,23,129.950,129,182,205,263,0.043579
b2,10pct_Q8ENC_90pct_other,Q4_DEC,60000,6.8598,0.145777,24,119.247,118,169,191,252,0.043733
b2,20pct_Q8ENC_80pct_other,Q8_ENC,39700,7.5185,0.133006,38,141.100,140,189,212,278,0.026402
b2,20pct_Q8ENC_80pct_other,Q8_DEC,53815,7.5185,0.133006,9,130.899,130,177,198,257,0.035789
b2,20pct_Q8ENC_80pct_other,Q4_ENC,54175,7.5185,0.133006,9,139.879,139,187,208,272,0.036028
b2,20pct_Q8ENC_80pct_other,Q4_DEC,52310,7.5185,0.133006,15,130.781,130,177,199,272,0.034788
